ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,AcceptedCmp6,Days_Customer,Age,Total_Spent,Total_NumPurchase,Total_Offers
9360,Bachelor,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,690,41,316,12,0
5376,Bachelor,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,539,44,1730,43,0
1993,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,553,74,972,17,1
4047,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,169,69,544,20,0
1409,Bachelor,Partner,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,72,444,20,0
7892,Bachelor,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,543,54,75,8,0
2404,Bachelor,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,398,47,257,14,0
5255,Bachelor,Single,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,494,37,637,27,0
9422,Bachelor,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,394,34,131,9,0
1966,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,58,1672,26,1
6864,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,34,30,8,0
3033,Master,Partner,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,60,318,11,0
5710,Bachelor,Partner,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,627,53,120,9,1
7373,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,608,71,302,17,1
8755,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,494,77,1196,18,0
10738,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,304,72,65,6,0
4339,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,180,53,913,28,0
10755,Master,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,300,47,81,9,0
8595,Bachelor,Widowed,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,50,67,7,0
2968,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,513,80,902,24,2
8601,Bachelor,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,426,43,1395,21,0
503,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,474,38,53,7,0
8430,Bachelor,Partner,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,552,66,22,4,0
7281,PhD,Single,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,236,64,186,9,0
2139,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,270,48,31,8,0
1371,Bachelor,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,1,47,984,16,0
9909,Master,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,597,27,122,10,1
7286,Bachelor,Partner,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,401,55,55,5,0
7244,Bachelor,Single,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,179,72,124,10,0
6566,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,598,69,1319,28,0
8614,Bachelor,Widowed,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,48,66,507,17,0
4114,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,687,59,1693,29,0
1331,Bachelor,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,543,46,72,7,0
2225,Bachelor,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,22,46,1617,21,3
9381,Bachelor,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,45,606,23,0
6260,Master,Partner,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,587,68,1957,27,2
10383,Bachelor,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,453,57,1093,21,1
7437,Bachelor,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,62,35,29,6,0
8557,Bachelor,Single,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,377,41,46,7,0
8375,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,118,55,518,19,0
6853,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,360,41,1438,21,3
3076,Bachelor,Partner,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,660,48,612,22,0
1012,Bachelor,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,496,71,884,24,0
6518,PhD,Widowed,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,383,72,606,19,0
4137,Bachelor,Partner,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,205,75,1076,16,0
8082,Bachelor,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,404,52,34,5,1
1386,Bachelor,Partner,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,49,56,11,4,0
9369,Master,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,102,44,1274,32,3
4477,Bachelor,Partner,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,275,65,653,18,0
1357,Bachelor,Partner,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,447,53,1562,19,0
1402,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,656,69,1253,21,0
10629,Master,Married,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,653,50,109,9,0
6312,Bachelor,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,469,64,863,30,0
8132,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,450,48,661,24,1
1050,Bachelor,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,60,71,65,8,0
5846,Bachelor,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,557,46,13,4,0
1859,Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,671,51,1890,19,1
7503,Bachelor,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,625,47,2209,22,2
10401,Master,Partner,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,298,47,18,4,0
1618,Bachelor,Partner,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,543,58,692,21,2
3332,Bachelor,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,669,38,165,12,0
2261,Bachelor,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,371,54,16,4,0
5346,Master,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,361,50,79,9,0
4119,Master,Partner,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,60,318,11,0
535,Bachelor,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,124,36,778,27,0
5268,Bachelor,Married,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,322,63,56,7,0
273,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,348,53,151,13,1
4452,Bachelor,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,32,66,372,17,3
8504,Bachelor,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48,50,1366,19,1
771,Bachelor,Partner,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,159,56,194,10,0
8996,PhD,Married,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,587,66,603,29,0
9235,Bachelor,Single,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,33,66,18,4,0
5798,Master,Partner,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,218,50,985,15,0
11178,Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,98,51,32,5,0
2230,PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,36,53,43,10,0
7516,Bachelor,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38,40,45,6,0
7247,Bachelor,Widowed,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,584,63,606,22,1
11100,Bachelor,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,444,51,63,7,0
4646,Master,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,72,978,25,1
3037,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,374,40,410,16,0
1473,Master,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,341,63,72,7,0
1016,PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,91,64,55,7,0
4518,Bachelor,Partner,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,435,44,1169,27,0
9370,PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,408,78,1120,16,0
8908,Bachelor,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,52,64,1097,20,1
8373,Bachelor,Partner,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,201,44,29,5,0
7533,Bachelor,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,278,59,187,13,0
2683,Bachelor,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,512,54,910,26,0
3629,Bachelor,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,557,45,145,9,0
10991,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,569,63,850,14,0
5077,Bachelor,Partner,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,239,44,969,24,0
7431,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,596,32,1820,17,2
3267,Master,Partner,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,4,60,608,20,1
999,Bachelor,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,543,32,730,25,3
9215,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,564,43,551,21,0
2286,Bachelor,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,292,61,114,8,0
1592,Bachelor,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,156,53,1724,15,2
367,Master,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,495,45,577,20,0
5234,Master,Partner,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,353,56,81,7,0
9862,Bachelor,Partner,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,227,54,33,7,0
9805,Master,Partner,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,374,70,660,22,0
6205,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,125,56,80,9,1
8442,Master,Married,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,298,38,30,6,0
7386,Bachelor,Divorced,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,433,47,43,5,0
7215,Bachelor,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,474,40,1135,27,4
1491,Master,Partner,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,496,58,559,16,0
11071,Bachelor,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,434,39,1923,16,1
3381,Master,Married,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,21,70,90,8,0
8268,PhD,Married,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,353,62,404,17,0
11051,PhD,Partner,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,50,67,661,23,0
8026,Bachelor,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,272,71,463,19,0
433,Master,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,476,65,632,23,0
9597,Bachelor,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,139,54,725,19,0
1295,Bachelor,Married,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,322,60,725,19,0
5290,PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,319,59,279,16,0
1685,PhD,Partner,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,469,56,1482,23,1
5342,Bachelor,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,690,47,29,6,0
9579,PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,357,64,106,9,0
7660,PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,50,49,6,2
1461,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,336,58,38,7,0
821,Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,618,31,2077,22,0
11084,Master,Partner,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,227,47,1053,17,1
8690,Bachelor,Married,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,436,61,1385,23,0
2937,PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,305,49,871,25,0
9701,Bachelor,Partner,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,467,35,312,12,0
9949,Bachelor,Married,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,619,47,877,15,0
10837,Bachelor,Married,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,609,48,68,6,1
3120,Bachelor,Partner,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,305,42,22,4,0
5885,Master,Married,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,676,50,211,16,0
4050,Master,Married,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,8,57,127,8,0
3830,Master,Married,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,66,70,459,16,0
7987,Bachelor,Married,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,114,54,460,19,1
7798,Master,Partner,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,562,51,429,17,0
92,Bachelor,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,48,35,89,11,0
7055,PhD,Partner,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,628,71,1021,26,0
10240,Bachelor,Partner,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,495,74,1381,21,3
3025,Bachelor,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,356,65,306,15,0
9283,Bachelor,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,290,45,18,4,0
9970,Bachelor,Partner,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,255,46,162,9,0
2730,Bachelor,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,313,68,1231,18,0
2795,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,363,65,13,4,0
9260,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,601,78,1706,27,0
8182,Bachelor,Married,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,175,39,121,11,0
10095,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,424,48,1293,20,0
8475,PhD,Married,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,120,50,1608,37,0
4370,Bachelor,Partner,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,228,57,88,9,0
10573,Bachelor,Divorced,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,223,70,421,18,1
3712,Bachelor,Divorced,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,305,64,259,12,1
6637,Bachelor,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,239,35,1117,15,0
3152,Bachelor,Partner,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,124,66,89,9,0
5610,Bachelor,Partner,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,69,58,36,6,0
6460,Bachelor,Married,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,351,41,57,7,0
1349,Bachelor,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,69,53,148,8,0
1880,PhD,Partner,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,150,64,93,8,0
641,Bachelor,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,86,56,119,7,1
8717,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,655,48,1835,28,0
10314,PhD,Married,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,560,75,1318,25,3
10854,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,37,53,45,7,0
10492,Bachelor,Partner,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,5,64,10,4,0
6935,Master,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,72,978,25,1
7698,PhD,Married,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,49,47,191,10,0
3559,Master,Married,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,50,35,57,9,0
10562,Master,Married,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,274,77,1033,24,0
10796,Master,Married,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,158,39,66,6,0
2563,Bachelor,Married,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,14,62,43,6,0
3518,Bachelor,Married,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,571,40,50,5,0
5823,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,113,53,39,7,0
3934,Bachelor,Married,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,331,57,608,18,0
6982,Bachelor,Married,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,467,47,1581,24,0
6431,PhD,Married,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,491,59,68,7,0
9733,Bachelor,Partner,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,658,45,80,5,1
5602,PhD,Partner,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,408,34,1282,28,0
1324,Bachelor,Married,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,395,35,91,8,0
326,Bachelor,Married,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,496,50,315,16,0
7224,Bachelor,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,182,46,31,6,0
6999,Master,Married,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,47,43,834,23,0
9938,Bachelor,Married,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,283,69,1600,17,1
