Tour Name,Type,Rating,Number of reviews,Price,Duration
"64. 90-Min Premium Shinobi Samurai Experiece in Asakusa Dojo, Tokyo",Unique Experiences,5.0 of 5 bubbles,10,$114.39,1–2 hours
65. 3-Hour Japanese Cooking Class & Walking in Todoroki Valley,Food & Drink,5.0 of 5 bubbles,21,$108.60,3 hours
66. Tokyo Haneda Airport (HND) Transfer - Private Transfer,Transportation Services,5.0 of 5 bubbles,6,$107.69,30–60 minutes
67. Watch Morning Practice at a Sumo Stable in Tokyo,Sports Lessons,4.0 of 5 bubbles,49,$74.26,1 hour
68. Shinjuku Nightlife Walking Tour & Golden-Gai Bar Crawl,Food & Drink,5.0 of 5 bubbles,26,$868.79,2 hours
69. 1 Day private car/van Nikko sightseeing tour with “English Speaking Driver”,Car Tours,5.0 of 5 bubbles,9,$181.00,1–10 hours
70. Comprehensive SAMURAI course at a real dojo(Iai・Gekken・Test cutting）,Martial Arts Classes,5.0 of 5 bubbles,9,$14.48,1–2 hours
71. Tokyo Walking Tour with Licensed Guide Shinjuku,Historical Tours,5.0 of 5 bubbles,74,$86.88,1 hour
72. Tokyo West-Side Cycling & Food Tour,Bike Tours,5.0 of 5 bubbles,99,$469.51,3–4 hours
73. Private One Day Nikko Tour with Bilingual driver,Bus Tours,4.5 of 5 bubbles,4,"$1,194.59",6+ hours
74. Private Tour: Chartered Car to Mt. Fuji Lake Kawaguchiko or Hakone and Lake Ashi,Bus Tours,5.0 of 5 bubbles,107,$186.07,10–11 hours
75. Private Custom Tour: Tokyo in a Day,Bus Tours,5.0 of 5 bubbles,267,$188.00,6+ hours
76. Kabukicho Izakaya Food Tour and Golden Gai Experience in Shinjuku,Adventure Tours,5.0 of 5 bubbles,107,$101.36,3 hours
77. Tokyo Tsukiji Outer Market Walking Tour and Rolled Sushi Class,Bus Tours,5.0 of 5 bubbles,152,$202.19,3 hours
78. DAIKOKU excursion by car DRIFT automobile encounter,Adventure Tours,5.0 of 5 bubbles,6,$181.00,4 hours
79. TOKYO & DAIKOKU PA (Car Enthusiasts Meeting Place) Open Car Tour.,Adventure Tours,5.0 of 5 bubbles,7,$72.40,3–4 hours
80. Experience Old and Nostalgic Tokyo: Yanaka Walking Tour,Food & Drink,5.0 of 5 bubbles,201,$122.36,3–4 hours
81. Sumo Tournament Experience in Tokyo,Sporting Event Tickets & Passes,5.0 of 5 bubbles,5,$33.67,4 hours
82. Explore the Hidden Local Bars in Shinjuku - 3.5 Hours,Food & Drink,4.5 of 5 bubbles,10,$124.00,3–4 hours
83. A 90 min. Tea ceremony Workshop In The Authentic Tea Room,Unique Experiences,5.0 of 5 bubbles,36,$137.56,1–2 days
84. Enjoy a Japanese Cooking Class with a Humorous Local Satoru in his Tokyo Home,Food & Drink,5.0 of 5 bubbles,4,$401.82,2–3 hours
85. Half Day Rural E-Bike Tour in Hida,E-Bike Tours,5.0 of 5 bubbles,61,$70.00,3–4 hours
86. Private One Day Tokyo City Tour with Bilingual driver,Bus Tours,4.0 of 5 bubbles,19,$144.80,6+ hours
87. Vegan/Vegetarian Ramen and Gyouza,Food & Drink,5.0 of 5 bubbles,33,$190.71,2–3 hours
88. Tokyo Private Sightseeing Tour by Bike with Water Bus,City Tours,5.0 of 5 bubbles,2,$110.00,6+ hours
89. Akihabara Private Anime & Gaming Food Tour Tailored To Your Taste,Shopping Tours,4.5 of 5 bubbles,4,$29.30,4 hours
90. Sumo Morning Practice Tour at Stable in Tokyo,City Tours,5.0 of 5 bubbles,37,$52.13,2 hours
91. Japanese Pottery Class in Tokyo,Craft Classes,5.0 of 5 bubbles,1,$94.12,1 hour
92. Tokyo Go-Kart Rental with Local Guide from Akihabara,Unique Experiences,5.0 of 5 bubbles,3,$126.70,1–2 hours
"93. Mt. Fuji, Mt Fuji Panoramic Ropeway & Seasonal Fruits Picking",Bus Tours,5.0 of 5 bubbles,1,$72.40,6+ hours
94. Tokyo Sumo Morning Practice Tour in Ryogoku with Sumo Lunch,Private and Luxury,5.0 of 5 bubbles,122,$195.48,3–4 hours
95. Tokyo downtown bicycle tour Tokyo Backstreets Bike Tour,City Tours,5.0 of 5 bubbles,39,$108.60,4 hours
96. 1-Day Rural E-Bike Tour in Hida,E-Bike Tours,5.0 of 5 bubbles,168,$145.00,6 hours
97. Japanese Archery (Kyudo) Experience in Tokyo,Shooting Ranges,4.0 of 5 bubbles,8,$448.88,2 hours
98. Tsukiji and Asakusa Food and Drink Cultural Walking Tour (Half day),Unique Experiences,5.0 of 5 bubbles,24,$130.32,5–6 hours
99. 1 Day Private Tokyo Sightseeing Tour Car/Van with “English Speaking Driver”,City Tours,4.5 of 5 bubbles,25,$101.36,6+ hours
100. Freely set up plans Guided Private Tours in Tokyo,Rail Tours,5.0 of 5 bubbles,28,$123.08,4–10 hours
101. Tokyo Food & Culture Half-Day Private Tour with Government-Licensed Guide,City Tours,5.0 of 5 bubbles,11,$100.00,4 hours
102. Ramen Tasting - Mini Bowl Ramen Tour,Food & Drink,5.0 of 5 bubbles,19,$70.95,3 hours
103. Shinjuku Izakaya and Golden gai bar hopping tour,Spring Break,5.0 of 5 bubbles,16,$109.00,3 hours
104. Tasting ALL TYPES of Sake with seminar,Food & Drink,5.0 of 5 bubbles,84,$130.32,1–2 hours
"105. REAL, All-Inclusive Tokyo Food and Drink Adventure (leave the tourists behind)",Food & Drink,4.5 of 5 bubbles,6,$108.60,3 hours
106. 2-Hour Genuine Samurai Experience Through Kendo in Tokyo,Unique Experiences,5.0 of 5 bubbles,44,$250.00,2 hours
107. Tokyo Private Custom Tour with Local Guide,Photo Shoots,5.0 of 5 bubbles,2,"$1,158.39",4–6 hours
108. Tuna Cutting Show in Tokyo & Unlimited Sushi & Sake,Food & Drink,5.0 of 5 bubbles,8,$110.00,2–3 hours
109. Private Car Mt Fuji and Gotemba Outlet in One Day from Tokyo,Shopping Tours,5.0 of 5 bubbles,18,"$1,194.59",10–11 hours
110. 2-Hour Tokyo Night Small Group Guided Cycling Tour,Bike Tours,5.0 of 5 bubbles,39,$86.88,2 hours
111. Sumo Wrestling Tournament Experience in Tokyo,Private and Luxury,5.0 of 5 bubbles,24,$152.04,3–4 hours
"112. Private tour: Chartered car from Tokyo to Nikko, Toshogu, Edo Wonderland etc",Bus Tours,5.0 of 5 bubbles,6,$135.12,6+ hours
113. Ebisu Local Food Tour: Shibuya's Most Popular Neighborhood,Unique Experiences,5.0 of 5 bubbles,7,$115.84,3 hours
114. Edo Tokyo & Japanese Culture Tour with Government Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,82,$99.91,6 hours
115. Secret Food Tours Tokyo w/ Private Tour Option,Food & Drink,5.0 of 5 bubbles,8,$108.60,3–4 hours
116. Shinjuku Food and Drink Walking Tour,Food & Drink,5.0 of 5 bubbles,23,$96.79,4–5 hours
117. Fish Market Food Tour in Tokyo,Food & Drink,5.0 of 5 bubbles,1,$56.47,2–3 hours
118. Mt. Fuji & Hakone 1 Day Bus Tour From Tokyo Station Area,Historical Tours,4.5 of 5 bubbles,37,$868.79,6+ hours
119. Tokyo Walking Tours with a Local Guide: Private and Customized,Historical Tours,5.0 of 5 bubbles,22,$95.00,3–6 hours
120. Let's experience calligraphy in YANAKA / Taito-ku / TOKYO !!,Japanese Lessons,5.0 of 5 bubbles,18,$65.16,1 hour
"121. 1 Day Private Tour Mt. Fuji, Hakone and Lake Ashi with English speaking driver.",Bus Tours,5.0 of 5 bubbles,20,$112.22,1–10 hours
122. Travel Tokyo with Your Own Personal Photographer,Shopping Tours,5.0 of 5 bubbles,31,$651.60,1 hour
123. Yanaka Historical Walking Tour in Tokyo's Old Town,Food & Drink,4.5 of 5 bubbles,4,$116.00,3–4 hours
124. 1-Day Tokyo Bus Tour with Lunch,Bus Tours,5.0 of 5 bubbles,1,$930.33,6+ hours
125. Mt. Fuji Private Sightseeing Tour with local: from Tokyo,4WD Tours,5.0 of 5 bubbles,3,"$3,000.00",9–10 hours
126. Japanese Cooking and Udon Making Class in Tokyo with Masako,Dining Experiences,5.0 of 5 bubbles,11,$217.05,2–3 hours
127. Mt.Fuji and Hakone Tour,Bus Tours,5.0 of 5 bubbles,40,$47.06,8–10 hours
"128. 4 Day Tour - Mount. Fuji, Tokyo, Hakone, Kamakura and Yokohama",Bus Tours,4.5 of 5 bubbles,8,$470.60,3+ days
129. Sangenjaya Back Alleys Private Food and Drink Tour,Unique Experiences,5.0 of 5 bubbles,5,$579.20,4 hours
130. Let's make kimono !（Kimono is a gift for you）,Art Classes,4.5 of 5 bubbles,17,$70.95,1–2 hours
131. PRIVATE TRIP TO Mount Fuji Lake Kawaguchi Hakone (upto 9 person),Adventure Tours,5.0 of 5 bubbles,13,$90.50,8–9 hours
132. 1 Day Private Mt Fuji Sightseeing Tour Car/Van with “English Speaking Driver”,Audio Guides,5.0 of 5 bubbles,3,$700.00,1–10 hours
133. Sake Tasting Class with a sake sommelier,Food & Drink,5.0 of 5 bubbles,25,$202.72,2 hours
134. Home made Ramen and Gyoza dumplings Cooking Class,Cooking Classes,5.0 of 5 bubbles,36,$275.12,3 hours
135. Private Mount Fuji Tour - Bilingual Chauffeur,Bus Tours,5.0 of 5 bubbles,1,$188.24,6+ hours
136. Kamakura Full-Day Private Trip (Tokyo departure) with Government-Licensed Guide,Public Transportation Tours,4.5 of 5 bubbles,17,$130.32,6+ hours
137. Tokyo private transfer for Narita Airport (NRT) - Toyota HIACE 9 seats,Transportation Services,5.0 of 5 bubbles,5,$9.00,60–90 minutes
138. Disneyland/Disneysea 1-Day Ticket & Private Morning Ride from Hotel in Tokyo!,Theme Parks,4.5 of 5 bubbles,5,$72.40,6+ hours
139. 【NEW】 Sushi Making Experience + Asakusa Local Tour,Food & Drink,5.0 of 5 bubbles,23,$152.04,4 hours
140. Tokyo Self-Guided Audio Tour,Historical Tours,5.0 of 5 bubbles,9,$94.12,1–24 hours
"141. Authentic Kimono Culture Experience Dress, Walk, and Capture",Fashion Tours,5.0 of 5 bubbles,5,$97.02,2–3 hours
142. The Best Family-Friendly Tokyo Tour with Government Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,63,$464.10,6 hours
143. Tokyo Portrait Tour with a Professional Photographer,Rail Tours,4.5 of 5 bubbles,11,$584.99,1–2 hours
144. Asakusa Cultural Walk & Matcha Making Tour,Food & Drink,4.5 of 5 bubbles,12,$101.36,3 hours
145. 1 Day Private Nikko World Heritage Tour (Charter) - English Speaking Driver,Bus Tours,5.0 of 5 bubbles,1,$700.00,10–12 hours
146. Private Tokyo Tour with Government Licensed Guide & Vehicle (Max 7 persons),Bus Tours,5.0 of 5 bubbles,8,$115.84,6 hours
147. Kawagoe Half-Day Private Trip with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,33,$209.28,4 hours
148. Private Tokyo Sightseeing Tour - Bilingual Chauffeur,Bus Tours,3.5 of 5 bubbles,6,$106.34,6+ hours
149. Private Harajuku Omotesando Architecture Walking Tour,Architecture Tours,5.0 of 5 bubbles,1,$219.74,3 hours
150. Tokyo Food Tours with a Local Foodie: Private & Customized to Your Tastes,Food & Drink,4.0 of 5 bubbles,5,$235.00,4 hours
151. Private Departure Transfer : Central Tokyo City to Haneda Airport,Transportation Services,5.0 of 5 bubbles,5,$130.32,45–60 minutes
152. Tokyo Otaku Tour with a Local: 100% Personalized & Private,City Tours,4.5 of 5 bubbles,3,$86.88,4 hours
153. Grand Sumo Tournament Tokyo - Osaka - Nagoya - Fukuoka,Historical Tours,5.0 of 5 bubbles,5,$65.16,4 hours
154. Private departure transfer from Tokyo city to Tokyo Haneda Airport(HND),Transportation Services,5.0 of 5 bubbles,2,$55.00,30–50 minutes
155. Tokyo West-Side Classic Road Bike Tour,Likely To Sell Out,5.0 of 5 bubbles,15,$130.32,2–3 hours
156. 1 Hour Private Photoshoot in Tokyo,Rail Tours,5.0 of 5 bubbles,6,$119.46,1 hour
157. Tokyo Like a Local: Customized Private Tour,Walking Tours,5.0 of 5 bubbles,24,$108.60,2–6 hours
158. Akihabara Tailor-made Tour for Anime Fans,Movie Tours,5.0 of 5 bubbles,8,$65.16,3–4 hours
"159. Elite Ninja 5 Basic Techs in Musashi Clan Asakusa Dojo, 90 min.",Unique Experiences,4.0 of 5 bubbles,9,$144.80,1–2 hours
160. Official Street Go-Kart Tour in Asakusa,Go Kart,5.0 of 5 bubbles,5,$65.16,60–90 minutes
161. Kamakura & Enoshima - One Day Bus Tour,Bus Tours,5.0 of 5 bubbles,2,$86.88,6+ hours
162. Retreat Bus Tour Surrounded by beautiful Mt.Fuji,Full-day Tours,5.0 of 5 bubbles,674,$253.40,6+ hours
163. Manga Lesson with a Professional Japanese Manga Artist in Nakano,Historical Tours,5.0 of 5 bubbles,4,$50.00,2 hours
164. Japanese Sweets (Mochi & Nerikiri) making at a Private Home in Tokyo,Food & Drink,5.0 of 5 bubbles,8,$36.20,2–3 hours
165. Tokyo private transfer for Yokohama Port,Transportation Services,5.0 of 5 bubbles,28,$18.10,30–60 minutes
166. 3-Hour Tokyo Pub Crawl Weekly Welcome Guided Tour in Shibuya,Spring Break,5.0 of 5 bubbles,85,$94.68,3 hours
167. Shibuya Cycling Cruise,Bike Tours,5.0 of 5 bubbles,"1,217",$274.68,3 hours
"168. Licensed Guide Walking Tour Featuring Club Warp Shinjuku, Tokyo, Japan",Art Tours,5.0 of 5 bubbles,2,$217.20,4 hours
169. Tokyo Great Cycling Tour,Historical Tours,5.0 of 5 bubbles,20,$246.16,6 hours
170. Personal Travel and Vacation Photographer Tour in Tokyo,Private and Luxury,5.0 of 5 bubbles,1,$70.00,1–3 hours
171. Daikoku Tour & Tokyo’s Amazing JDM Car Meet,Full-day Tours,4.0 of 5 bubbles,1,$43.44,4–5 hours
172. Experience of Samurai and Samurai license of Samurai Armor Photo Studio,Unique Experiences,5.0 of 5 bubbles,14,$7.24,1–2 hours
173. Yanaka Walking Tour - Tokyo Old Quarter,Walking Tours,5.0 of 5 bubbles,21,$202.72,3–4 hours
174. Tokyo Asakusa Rickshaw Tour,Unique Experiences,3.5 of 5 bubbles,3,$182.00,30–180 minutes
175. 1-Hour Audio Guided Tour in Asakusa Tokyo,Historical Tours,5.0 of 5 bubbles,1,$97.74,1 hour
176. Drive Tokyo & Daikoku PA. Special Rental Car with Lead Car Tour,Rentals,3.5 of 5 bubbles,2,$514.00,3–4 hours
177. Kawaii Food Tour of Harajuku Tokyo,Fashion Shows,5.0 of 5 bubbles,3,$490.00,3 hours
178. Ikebana Experience in Shinjuku,Art Classes,4.0 of 5 bubbles,1,$131.42,1–2 hours
179. Mt. Fuji or Hakone Private Sightseeing Day Tour from Tokyo,Historical Tours,5.0 of 5 bubbles,1,$76.02,6+ hours
180. One Day Private Tour to Mount Fuji,4WD Tours,4.0 of 5 bubbles,4,$35.11,8–9 hours
181. Highlights & Hidden Gems With Locals: Best of Tokyo Private Tour,Historical Tours,5.0 of 5 bubbles,21,$130.32,3 hours
182. Mt Fuji Day Tour with Kawaguchiko Lake and Fifth Station,Full-day Tours,5.0 of 5 bubbles,6,$114.39,6+ hours
183. Traditional Glass Carving Experience in Tokyo,Craft Classes,5.0 of 5 bubbles,3,$23.89,1–2 hours
184. Harajuku and Shibuya Evening Walking Tour,City Tours,5.0 of 5 bubbles,24,$86.88,2–3 hours
185. Private departure transfer from Tokyo City to Narita International airport,Transportation Services,5.0 of 5 bubbles,24,$126.24,60–90 minutes
186. Private Handmade Ring Workshop Activity,Craft Classes,4.0 of 5 bubbles,1,$99.00,1–2 hours
187. Exclusive Ramen Kitchen Experience,Food & Drink,5.0 of 5 bubbles,3,$298.29,1 hour
188. Call Fukagawa Geisha to Join You on a Yakatabune Boat Trip,Historical Tours,5.0 of 5 bubbles,4,$176.00,2 hours
189. Explore Tokyo Your Way: 6 Hours Private Customizable Walking Tour,Public Transportation Tours,5.0 of 5 bubbles,13,$716.75,6 hours
190. Toyosu & Tsukiji tour with Sushi making workshop,Food & Drink,5.0 of 5 bubbles,44,$128.05,5 hours
191. Small Group Tokyo Food Tour - A Journey Through Time Through Food,Public Transportation Tours,5.0 of 5 bubbles,105,$97.74,5–6 hours
192. 1 Day Private Charter Tokyo Sight Seeing Tour with guide,Bus Tours,5.0 of 5 bubbles,2,$202.72,6+ hours
193. The History of Tokyo: Sensoji Temple & Asakusa District Private Tour,Historical Tours,4.5 of 5 bubbles,4,$152.04,3 hours
194. Ninja Samurai 2-hour hands-on lesson in English in Tokyo,Fun & Games,4.5 of 5 bubbles,3,$933.95,2 hours
195. Authentic Geisha Performance and Entertainment including a Kaiseki Course Dinner,Food & Drink,4.5 of 5 bubbles,28,$123.08,2–3 hours
196. Tokyo's Scariest Shitamachi Ghost Tour,Public Transportation Tours,5.0 of 5 bubbles,1,$100.00,3 hours
197. Nikko private tour with English speaking guide,Historical Tours,5.0 of 5 bubbles,6,$10.86,6+ hours
198. Private Ueno Park Architecture Walking Tour,Architecture Tours,4.5 of 5 bubbles,15,$200.00,3 hours
199. Experience Local Food and Drink on Sunamachi Ginza Delicatessen Street,Food & Drink,5.0 of 5 bubbles,7,$18.10,3–4 hours
200. English Stand up Comedy Show,Comedy Shows,5.0 of 5 bubbles,1,$34.03,1–2 hours
201. Tokyo Allstar Food Tour,Food & Drink,5.0 of 5 bubbles,3,$37.23,3 hours
202. Licensed Guide Tokyo Meguro Cherry Blossom Walking Tour,Historical Tours,3.5 of 5 bubbles,3,$345.00,1–2 hours
203. 1 Day Pass at the Digital Amusement Park RED TOKYO TOWER,Attractions & Museums,5.0 of 5 bubbles,45,$700.00,60–150 minutes
204. Shared Arrival Transfer : Haneda Airport to Central Tokyo City,Transportation Services,5.0 of 5 bubbles,15,$164.11,1–3 hours
205. Secrets of Sumo Culture,Historical Tours,5.0 of 5 bubbles,3,$115.84,4 hours
206. Private Nikko Sightseeing Tour - Bilingual Chauffeur,Transportation Services,5.0 of 5 bubbles,1,$340.00,6+ hours
207. Private Tokyo Photography Walking Tour with a Professional Photographer,Art Classes,5.0 of 5 bubbles,8,$455.00,3 hours
208. Japanese Whisky Tasting Experience at Local Bar in Tokyo,Spring Break,4.5 of 5 bubbles,9,$133.94,2 hours
209. From Haneda Layover tour for 6 hours by train,Day Trips,5.0 of 5 bubbles,7,$162.90,6 hours
210. Full-Day Private Tour to Discover The Best of Tokyo,Bus Tours,5.0 of 5 bubbles,2,$70.95,6+ hours
211. Savor Wagyu & Sake Pairing in Shinjuku,Food & Drink,5.0 of 5 bubbles,2,$169.61,3 hours
212.  Full-Day Private Mt. Fuji Tour with Local Guide from Tokyo,Bus Tours,5.0 of 5 bubbles,3,$700.00,9–10 hours
213. Toyosu Market Morning Tuna Auction and Tsukiji Food Tour with Licensed Guide,City Tours,5.0 of 5 bubbles,19,$30.41,3 hours
"214. Experience all of Japanese culture and Japanese food experience classes ""origami, udon, Japanese food, green tea, calligraphy"" in 4 hours",Unique Experiences,5.0 of 5 bubbles,8,$238.92,4 hours
215. The 10 Tastings of Tokyo With Locals: Private Street Food Tour,Food & Drink,5.0 of 5 bubbles,18,$94.12,3 hours
216. Private Kamakura and Yokohama Tour - Bilingual Chauffeur,Bus Tours,4.0 of 5 bubbles,6,$716.75,6+ hours
217. Red Tokyo Tower Night Ticket,Skip the line Tickets,5.0 of 5 bubbles,15,$50.68,60–150 minutes
218. One Day Tour of Kamakura from Tokyo,Historical Tours,5.0 of 5 bubbles,1,$112.22,6+ hours
219. Samurai Training Tokyo Asakusa,Unique Experiences,5.0 of 5 bubbles,4,$164.55,1 hour
220. Mt Fuji Private customize tour with English speaking guide,Bus Tours,5.0 of 5 bubbles,1,$125.25,6+ hours
221. 東京下町自転車ツアー（ショートコース）Guided cycle tour (short) in the central Tokyo,City Tours,4.5 of 5 bubbles,8,$115.84,2–3 hours
222. IAIDO SAMURAI ship experience with real SWARD and ARMER,Martial Arts Classes,3.5 of 5 bubbles,6,$152.04,1–2 hours
223. Private Tokyo City Night Tour,Bus Tours,5.0 of 5 bubbles,76,$123.08,6 hours
